Date,Stock Symbol,Action,Qty,Price,Notes
2024-11-18,HINPET,BUY,2,372.4,upstox order book import
2024-12-16,HINPET,BUY,2,402.3,upstox order book import
2025-01-15,HINPET,BUY,2,367.05,upstox order book import
2025-02-17,HINPET,BUY,2,312.7,upstox order book import
2025-03-17,HINPET,BUY,2,326.05,upstox order book import
2025-04-15,HINPET,BUY,2,378.15,upstox order book import
2026-03-02,ICIGOL,BUY,100,143.22,upstox order book import
2026-03-04,ICIGOL,BUY,100,138.34,upstox order book import
2026-03-19,ICIGOL,BUY,50,128.08,upstox order book import
2026-04-16,ICINIF,BUY,4,271.96,upstox order book import
2026-04-23,ICINIF,BUY,4,272.84,upstox order book import
2026-04-24,ICINIF,BUY,8,270.14,upstox order book import
2026-04-30,ICINIF,BUY,4,269.98,upstox order book import
2026-05-07,ICINIF,BUY,4,274.62,upstox order book import
2026-05-14,ICINIF,BUY,4,266.88,upstox order book import
2026-05-21,ICINIF,BUY,4,266.61,upstox order book import
2026-05-29,ICINIF,BUY,4,269.09,upstox order book import
2026-06-04,ICINIF,BUY,4,264.0,upstox order book import
2026-06-11,ICINIF,BUY,4,262.86,upstox order book import
2026-06-18,ICINIF,BUY,4,272.1,upstox order book import
2026-06-25,ICINIF,BUY,4,273.3,upstox order book import
2026-07-02,ICINIF,BUY,4,272.7,upstox order book import
2026-07-09,ICINIF,BUY,3,272.05,upstox order book import
2026-07-16,ICINIF,BUY,3,273.33,upstox order book import
2026-07-23,ICINIF,BUY,3,270.22,upstox order book import
2026-07-30,ICINIF,BUY,3,274.79,upstox order book import
2026-08-06,ICINIF,BUY,3,279.45,upstox order book import
2026-08-13,ICINIF,BUY,3,276.81,upstox order book import
2026-08-20,ICINIF,BUY,3,275.53,upstox order book import
2026-08-27,ICINIF,BUY,3,274.68,upstox order book import
2026-09-03,ICINIF,BUY,3,271.62,upstox order book import
2026-09-10,ICINIF,BUY,3,266.29,upstox order book import
2026-02-01,ICIPSE,BUY,37,263.65,upstox order book import
2026-02-03,ICIPSE,BUY,30,258.25,upstox order book import
2026-03-02,ICIPSE,BUY,34,286.81,upstox order book import
2026-03-27,ICIPSE,BUY,50,222.73,upstox order book import
2026-04-01,ICIPSE,BUY,42,236.38,upstox order book import
2024-09-23,IDECEL,BUY,500,11.06,upstox order book import
2024-10-04,IDECEL,SELL,500,9.89,upstox order book import
2025-04-02,IDECEL,BUY,750,8.08,upstox order book import
2025-05-21,IDECEL,BUY,750,6.65,upstox order book import
2024-05-15,JIOFIN,BUY,2,356.35,upstox order book import
2024-05-22,JIOFIN,BUY,2,358.85,upstox order book import
2024-05-29,JIOFIN,BUY,2,350.35,upstox order book import
2024-06-05,JIOFIN,BUY,2,343.9,upstox order book import
2024-06-12,JIOFIN,BUY,2,352.95,upstox order book import
2024-06-19,JIOFIN,BUY,2,360.2,upstox order book import
2024-06-26,JIOFIN,BUY,2,354.85,upstox order book import
2024-07-03,JIOFIN,BUY,2,351.95,upstox order book import
2024-07-10,JIOFIN,BUY,2,348.0,upstox order book import
2024-07-18,JIOFIN,BUY,2,338.45,upstox order book import
2024-07-24,JIOFIN,BUY,2,337.15,upstox order book import
2024-07-31,JIOFIN,BUY,2,328.8,upstox order book import
2024-08-07,JIOFIN,BUY,2,315.55,upstox order book import
2024-08-14,JIOFIN,BUY,2,324.0,upstox order book import
2022-01-28,JSWENE,BUY,2,303.0,upstox order book import
2022-02-28,JSWENE,BUY,2,330.0,upstox order book import
2022-03-31,JSWENE,BUY,2,301.08,upstox order book import
2022-05-02,JSWENE,BUY,2,309.45,upstox order book import
2022-05-31,JSWENE,BUY,2,277.2,upstox order book import
2022-06-30,JSWENE,BUY,2,215.9,upstox order book import
2022-08-01,JSWENE,BUY,2,244.55,upstox order book import
2022-09-01,JSWENE,BUY,2,354.35,upstox order book import
2022-09-30,JSWENE,BUY,2,297.3,upstox order book import
2022-10-31,JSWENE,BUY,2,336.5,upstox order book import
2023-12-04,JSWENE,BUY,6,429.6,upstox order book import
2024-05-15,JSWENE,BUY,2,600.8,upstox order book import
2024-05-22,JSWENE,BUY,2,614.25,upstox order book import
2024-05-29,JSWENE,BUY,2,607.2,upstox order book import
2024-06-05,JSWENE,BUY,2,582.35,upstox order book import
2024-06-12,JSWENE,BUY,2,643.8,upstox order book import
2024-06-19,JSWENE,BUY,2,689.35,upstox order book import
2024-06-26,JSWENE,BUY,2,719.45,upstox order book import
2024-07-03,JSWENE,BUY,2,725.85,upstox order book import
2024-07-10,JSWENE,BUY,2,710.9,upstox order book import
2024-07-18,JSWENE,BUY,2,700.15,upstox order book import
2024-07-24,JSWENE,BUY,2,701.93,upstox order book import
2024-07-31,JSWENE,BUY,2,724.0,upstox order book import
2024-08-07,JSWENE,BUY,2,680.7,upstox order book import
2024-08-14,JSWENE,BUY,2,651.23,upstox order book import
2026-07-09,KOTAKBKETF,BUY,3,59.51,upstox order book import
2026-07-16,KOTAKBKETF,BUY,3,59.84,upstox order book import
2026-07-23,KOTAKBKETF,BUY,3,58.65,upstox order book import
2026-07-30,KOTAKBKETF,BUY,3,59.26,upstox order book import
2026-08-06,KOTAKBKETF,BUY,3,60.22,upstox order book import
2026-08-13,KOTAKBKETF,BUY,3,59.94,upstox order book import
2026-08-20,KOTAKBKETF,BUY,3,59.9,upstox order book import
2026-08-27,KOTAKBKETF,BUY,3,59.94,upstox order book import
2026-09-03,KOTAKBKETF,BUY,3,59.76,upstox order book import
2026-09-10,KOTAKBKETF,BUY,3,58.65,upstox order book import
2025-09-10,LIC,BUY,5,876.9,upstox order book import
2025-09-17,LIC,BUY,5,885.35,upstox order book import
2025-09-24,LIC,BUY,5,896.6,upstox order book import
2025-10-01,LIC,BUY,5,901.0,upstox order book import
2025-10-08,LIC,BUY,5,892.6,upstox order book import
2025-10-15,LIC,BUY,5,899.75,upstox order book import
2025-10-23,LIC,BUY,5,900.4,upstox order book import
2025-10-29,LIC,BUY,5,907.6,upstox order book import
2025-11-06,LIC,BUY,5,895.25,upstox order book import
2026-04-16,MIR150,BUY,8,22.08,upstox order book import
2026-04-23,MIR150,BUY,8,22.6,upstox order book import
2026-04-24,MIR150,BUY,16,22.41,upstox order book import
2026-04-30,MIR150,BUY,8,22.4,upstox order book import
2026-05-07,MIR150,BUY,8,23.29,upstox order book import
2026-05-14,MIR150,BUY,8,22.77,upstox order book import
2026-05-21,MIR150,BUY,8,22.97,upstox order book import
2026-05-29,MIR150,BUY,8,23.23,upstox order book import
2026-06-04,MIR150,BUY,8,22.91,upstox order book import
2026-06-11,MIR150,BUY,8,22.31,upstox order book import
2026-06-18,MIR150,BUY,8,23.33,upstox order book import
2026-06-25,MIR150,BUY,8,23.39,upstox order book import
2026-07-02,MIR150,BUY,8,23.44,upstox order book import
2026-07-09,MIR150,BUY,8,23.37,upstox order book import
2026-07-16,MIR150,BUY,8,23.6,upstox order book import
2026-07-23,MIR150,BUY,9,23.21,upstox order book import
2026-07-30,MIR150,BUY,8,23.57,upstox order book import
2026-08-06,MIR150,BUY,8,23.93,upstox order book import
2026-08-13,MIR150,BUY,8,24.04,upstox order book import
2026-08-20,MIR150,BUY,8,24.04,upstox order book import
2026-08-27,MIR150,BUY,8,24.09,upstox order book import
2026-09-03,MIR150,BUY,8,23.75,upstox order book import
2026-09-10,MIR150,BUY,9,23.47,upstox order book import
2023-12-04,NHPC,BUY,55,57.9,upstox order book import
2026-04-16,NIPNIT,BUY,4,34.93,upstox order book import
2026-04-23,NIPNIT,BUY,4,33.53,upstox order book import
2026-04-24,NIPNIT,BUY,8,32.25,upstox order book import
2026-04-30,NIPNIT,BUY,4,32.48,upstox order book import
2026-05-07,NIPNIT,BUY,4,32.3,upstox order book import
2026-05-14,NIPNIT,BUY,4,30.25,upstox order book import
2026-05-21,NIPNIT,BUY,4,32.09,upstox order book import
2026-05-29,NIPNIT,BUY,4,32.74,upstox order book import
2026-06-04,NIPNIT,BUY,4,32.59,upstox order book import
